state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,17-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3580,3580,16-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3580,3560,13-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3580,3600,3580,10-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,09-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3580,08-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3600,3640,3620,07-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3580,3600,3580,06-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3600,3620,3600,05-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,04-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3560,03-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3600,3630,3600,02-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3580,3560,01-Nov-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3580,3560,31-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3580,3560,30-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3580,3600,3600,29-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3600,28-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3600,27-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3600,3580,26-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3600,3620,3600,25-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3600,3620,3600,24-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3600,3630,3600,20-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3600,3620,3600,19-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3600,3630,3600,18-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3600,16-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,13-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3600,3560,12-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3580,3560,11-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3580,3580,10-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,09-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,06-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3600,3580,05-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3600,3630,3600,04-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3580,03-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3580,3600,3600,02-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3560,3600,3580,01-Oct-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3600,3630,3600,29-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3550,3560,3560,28-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,12,3560,3600,3580,27-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3560,3600,3580,26-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3580,25-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3600,3620,3600,24-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,8,3580,3620,3600,23-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3600,3620,3600,22-Sep-23
West Bengal,Puruliya,Purulia,Other,Cereals,10,3580,3600,3580,21-Sep-23
